"uri","bill type","date","home page","home page > uri","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/392321","HoL Private","2007-11-02","pipedmusicetchospitalshl.html","http://services.parliament.uk/bills/pipedmusicetchospitalshl.html","Piped Music etc (Hospitals) [HL]","2006-2007","Lord Beaumont of Whitley","Piped Music etc (Hospitals) [HL]"
"http://data.parliament.uk/resources/392345","Ten Minute Rule","2007-11-02","grandparentsrightsofaccess.html","http://services.parliament.uk/bills/grandparentsrightsofaccess.html","Grandparents (Rights of Access)","2006-2007","Mr Ian Cawsey","Grandparents (Rights of Access)"
"http://data.parliament.uk/resources/392205","Presentation","2007-11-01","agerelatedmaculardegeneration.html","http://services.parliament.uk/bills/agerelatedmaculardegeneration.html","Age-Related Macular Degeneration","2006-2007","Mrs Linda Riordan","Age-Related Macular Degeneration"
"http://data.parliament.uk/resources/392228","Ballot","2007-11-01","landusegardensprotectionetc.html","http://services.parliament.uk/bills/landusegardensprotectionetc.html","Land Use (Gardens Protection Etc)","2006-2007","Mrs Caroline Spelman","Land Use (Gardens Protection Etc)"
"http://data.parliament.uk/resources/392236","Presentation","2007-11-01","retailpackagingrecycling.html","http://services.parliament.uk/bills/retailpackagingrecycling.html","Retail Packaging (Recycling)","2006-2007","Andrew Stunell","Retail Packaging (Recycling)"
"http://data.parliament.uk/resources/392243","Ten Minute Rule","2007-11-01","nationalinstituteforhealthandclinicalexcellenceimpactoncarers.html","http://services.parliament.uk/bills/nationalinstituteforhealthandclinicalexcellenceimpactoncarers.html","National Institute for Health and Clinical Excellence (Impact on Carers)","2006-2007","Greg Clark","National Institute for Health and Clinical Excellence (Impact on Carers)"
"http://data.parliament.uk/resources/392276","Presentation","2007-11-01","telecommunicationsmastsplanningcontrol.html","http://services.parliament.uk/bills/telecommunicationsmastsplanningcontrol.html","Telecommunications Masts (Planning Control)","2006-2007","Andrew Stunell","Telecommunications Masts (Planning Control)"
"http://data.parliament.uk/resources/392279","Ballot","2007-11-01","temporaryandagencyworkerspreventionoflessfavourabletreatment.html","http://services.parliament.uk/bills/temporaryandagencyworkerspreventionoflessfavourabletreatment.html","Temporary and Agency Workers (Prevention of Less Favourable Treatment)","2006-2007","Paul Farrelly","Temporary and Agency Workers (Prevention of Less Favourable Treatment)"
"http://data.parliament.uk/resources/392280","Presentation","2007-11-01","terminationofpregnancy.html","http://services.parliament.uk/bills/terminationofpregnancy.html","Termination of Pregnancy","2006-2007","Mrs Nadine Dorries","Termination of Pregnancy"
"http://data.parliament.uk/resources/392284","Ballot","2007-11-01","tradeunionrightsandfreedoms.html","http://services.parliament.uk/bills/tradeunionrightsandfreedoms.html","Trade Union Rights and Freedoms","2006-2007","John McDonnell","Trade Union Rights and Freedoms"
"http://data.parliament.uk/resources/392318","Ballot","2007-11-01","cysticfibrosisexemptionfromprescriptioncharges.html","http://services.parliament.uk/bills/cysticfibrosisexemptionfromprescriptioncharges.html","Cystic Fibrosis (Exemption from Prescription Charges)","2006-2007","Mr John Hayes","Cystic Fibrosis (Exemption from Prescription Charges)"
"http://data.parliament.uk/resources/392325","Ballot","2007-11-01","post16educationandtraining.html","http://services.parliament.uk/bills/post16educationandtraining.html","Post-16 Education and Training","2006-2007","Mr Barry Sheerman","Post-16 Education and Training"
"http://data.parliament.uk/resources/392331","Presentation","2007-11-01","provisionofpalliativecare.html","http://services.parliament.uk/bills/provisionofpalliativecare.html","Provision of Palliative Care","2006-2007","Jim Dobbin","Provision of Palliative Care"
"http://data.parliament.uk/resources/392344","Ten Minute Rule","2007-11-01","packagingreduction.html","http://services.parliament.uk/bills/packagingreduction.html","Packaging (Reduction)","2006-2007","Jo Swinson","Packaging (Reduction)"
"http://data.parliament.uk/resources/392254","Presentation","2007-10-31","scottishparliamentelections.html","http://services.parliament.uk/bills/scottishparliamentelections.html","Scottish Parliament Elections","2006-2007","Jo Swinson","Scottish Parliament Elections"
"http://data.parliament.uk/resources/392292","Government","2007-10-31","ukborders.html","http://services.parliament.uk/bills/ukborders.html","UK Borders","2006-2007","John Reid","UK Borders"
"http://data.parliament.uk/resources/392317","Government","2007-10-31","welfarereform.html","http://services.parliament.uk/bills/welfarereform.html","Welfare Reform","2005-2006","Lord McKenzie of Luton","Welfare Reform"
"http://data.parliament.uk/resources/392317","Government","2007-10-31","welfarereform.html","http://services.parliament.uk/bills/welfarereform.html","Welfare Reform","2006-2007","Mr John Hutton","Welfare Reform"
"http://data.parliament.uk/resources/392211","HoL Private","2007-10-30","corruptionhl.html","http://services.parliament.uk/bills/corruptionhl.html","Corruption [HL]","2006-2007","David Heath","Corruption [HL]"
"http://data.parliament.uk/resources/392211","HoL Private","2007-10-30","corruptionhl.html","http://services.parliament.uk/bills/corruptionhl.html","Corruption [HL]","2006-2007","Lord Chidgey","Corruption [HL]"
"http://data.parliament.uk/resources/392230","Government","2007-10-30","ratingemptyproperties.html","http://services.parliament.uk/bills/ratingemptyproperties.html","Rating (Empty Properties)","2006-2007","Phil Woolas","Rating (Empty Properties)"
"http://data.parliament.uk/resources/392239","Ten Minute Rule","2007-10-30","animalsactamendment.html","http://services.parliament.uk/bills/animalsactamendment.html","Animals Act (Amendment)","2006-2007","Stephen Crabb","Animals Act (Amendment)"
"http://data.parliament.uk/resources/392268","Ten Minute Rule","2007-10-30","speedlimitsamendment.html","http://services.parliament.uk/bills/speedlimitsamendment.html","Speed Limits (Amendment)","2006-2007","Mr John Leech","Speed Limits (Amendment)"
"http://data.parliament.uk/resources/392270","Government","2007-10-30","statisticsandregistrationservice.html","http://services.parliament.uk/bills/statisticsandregistrationservice.html","Statistics and Registration Service","2006-2007","Gordon Brown","Statistics and Registration Service"
"http://data.parliament.uk/resources/392270","Government","2007-10-30","statisticsandregistrationservice.html","http://services.parliament.uk/bills/statisticsandregistrationservice.html","Statistics and Registration Service","2006-2007","Lord Davies of Oldham","Statistics and Registration Service"
"http://data.parliament.uk/resources/392277","HoL Private","2007-10-30","televisionadvertisingfoodhl.html","http://services.parliament.uk/bills/televisionadvertisingfoodhl.html","Television Advertising (Food) [HL]","2006-2007","Baroness Thornton","Television Advertising (Food) [HL]"
"http://data.parliament.uk/resources/392282","HoL Private","2007-10-30","torturedamageshl.html","http://services.parliament.uk/bills/torturedamageshl.html","Torture (Damages) [HL]","2006-2007","Lord Archer of Sandwell","Torture (Damages) [HL]"
"http://data.parliament.uk/resources/392283","Ten Minute Rule","2007-10-30","townandcountryplanningamendment.html","http://services.parliament.uk/bills/townandcountryplanningamendment.html","Town and Country Planning (Amendment)","2006-2007","John Mann","Town and Country Planning (Amendment)"
"http://data.parliament.uk/resources/392303","HoL Private","2007-10-30","victimsofoverseasterrorismhl.html","http://services.parliament.uk/bills/victimsofoverseasterrorismhl.html","Victims of Overseas Terrorism [HL]","2006-2007","Lord Brennan","Victims of Overseas Terrorism [HL]"
"http://data.parliament.uk/resources/392305","Ballot","2007-10-30","wagingwarparliamentsroleandresponsibilty.html","http://services.parliament.uk/bills/wagingwarparliamentsroleandresponsibilty.html","Waging War (Parliament's Role and Responsibilty)","2006-2007","Mr Michael Meacher","Waging War (Parliament's Role and Responsibilty)"
"http://data.parliament.uk/resources/392314","Ten Minute Rule","2007-10-30","wildbirdsprotection.html","http://services.parliament.uk/bills/wildbirdsprotection.html","Wild Birds (Protection)","2006-2007","Mark Pritchard","Wild Birds (Protection)"
"http://data.parliament.uk/resources/392315","Ten Minute Rule","2007-10-30","youngoffendersprovisionofspeechtherapy.html","http://services.parliament.uk/bills/youngoffendersprovisionofspeechtherapy.html","Young Offenders (Provision of Speech Therapy)","2006-2007","John Bercow","Young Offenders (Provision of Speech Therapy)"
"http://data.parliament.uk/resources/392204","Ten Minute Rule","2007-10-27","accesstoinlandwaterways.html","http://services.parliament.uk/bills/accesstoinlandwaterways.html","Access To Inland Waterways","2006-2007","Dr Desmond Turner","Access To Inland Waterways"
"http://data.parliament.uk/resources/392208","HoL Private","2007-10-27","clustermunitionsprohibitionhl.html","http://services.parliament.uk/bills/clustermunitionsprohibitionhl.html","Cluster Munitions (Prohibition) [HL]","2006-2007","Lord Dubs","Cluster Munitions (Prohibition) [HL]"
"http://data.parliament.uk/resources/392208","HoL Private","2007-10-27","clustermunitionsprohibitionhl.html","http://services.parliament.uk/bills/clustermunitionsprohibitionhl.html","Cluster Munitions (Prohibition) [HL]","2006-2007","Martin Caton","Cluster Munitions (Prohibition) [HL]"
"http://data.parliament.uk/resources/392209","Government","2007-10-27","concessionarybustravelhl.html","http://services.parliament.uk/bills/concessionarybustravelhl.html","Concessionary Bus Travel [HL]","2006-2007","Douglas Alexander","Concessionary Bus Travel [HL]"
"http://data.parliament.uk/resources/392209","Government","2007-10-27","concessionarybustravelhl.html","http://services.parliament.uk/bills/concessionarybustravelhl.html","Concessionary Bus Travel [HL]","2006-2007","Lord Davies of Oldham","Concessionary Bus Travel [HL]"
"http://data.parliament.uk/resources/392215","HoL Private","2007-10-27","europeanunioninformationetchl.html","http://services.parliament.uk/bills/europeanunioninformationetchl.html","European Union (Information etc) [HL]","2006-2007","Lord Dykes","European Union (Information etc) [HL]"
"http://data.parliament.uk/resources/392216","HoL Private","2007-10-27","forcedmarriagescivilprotectionhl.html","http://services.parliament.uk/bills/forcedmarriagescivilprotectionhl.html","Forced Marriages (Civil Protection) [HL]","2006-2007","Lord Lester of Herne Hill","Forced Marriages (Civil Protection) [HL]"
"http://data.parliament.uk/resources/392217","Government","2007-10-27","furthereducationandtraininghl.html","http://services.parliament.uk/bills/furthereducationandtraininghl.html","Further Education and Training [HL]","2006-2007","Lord Adonis","Further Education and Training [HL]"
"http://data.parliament.uk/resources/392222","Government","2007-10-27","internationaltribunalssierraleonehl.html","http://services.parliament.uk/bills/internationaltribunalssierraleonehl.html","International Tribunals (Sierra Leone) [HL]","2006-2007","Baroness Royall of Blaisdon","International Tribunals (Sierra Leone) [HL]"
"http://data.parliament.uk/resources/392226","Government","2007-10-27","mentalhealthhl.html","http://services.parliament.uk/bills/mentalhealthhl.html","Mental Health [HL]","2006-2007","Lord Warner","Mental Health [HL]"
"http://data.parliament.uk/resources/392226","Government","2007-10-27","mentalhealthhl.html","http://services.parliament.uk/bills/mentalhealthhl.html","Mental Health [HL]","2006-2007","Patricia Hewitt","Mental Health [HL]"
"http://data.parliament.uk/resources/392227","Ten Minute Rule","2007-10-27","climatechangeeffects.html","http://services.parliament.uk/bills/climatechangeeffects.html","Climate Change (Effects)","2006-2007","Rob Marris","Climate Change (Effects)"
"http://data.parliament.uk/resources/392233","Ten Minute Rule","2007-10-27","alcoholharmreduction.html","http://services.parliament.uk/bills/alcoholharmreduction.html","Alcohol (Harm Reduction)","2006-2007","Sandra Gidley","Alcohol (Harm Reduction)"
"http://data.parliament.uk/resources/392234","Government","2007-10-27","digitalswitchoverdisclosureofinformation.html","http://services.parliament.uk/bills/digitalswitchoverdisclosureofinformation.html","Digital Switchover (Disclosure of Information)","2006-2007","Lord Davies of Oldham","Digital Switchover (Disclosure of Information)"
"http://data.parliament.uk/resources/392234","Government","2007-10-27","digitalswitchoverdisclosureofinformation.html","http://services.parliament.uk/bills/digitalswitchoverdisclosureofinformation.html","Digital Switchover (Disclosure of Information)","2006-2007","Tessa Jowell","Digital Switchover (Disclosure of Information)"
"http://data.parliament.uk/resources/392242","Ten Minute Rule","2007-10-27","armedforcesfederation.html","http://services.parliament.uk/bills/armedforcesfederation.html","Armed Forces (Federation)","2006-2007","Mr Kevan Jones","Armed Forces (Federation)"
"http://data.parliament.uk/resources/392250","Government","2007-10-27","offendermanagement.html","http://services.parliament.uk/bills/offendermanagement.html","Offender Management","2006-2007","Baroness Scotland","Offender Management"
"http://data.parliament.uk/resources/392250","Government","2007-10-27","offendermanagement.html","http://services.parliament.uk/bills/offendermanagement.html","Offender Management","2006-2007","John Reid","Offender Management"
"http://data.parliament.uk/resources/392253","Ten Minute Rule","2007-10-27","carersidentificationsupport.html","http://services.parliament.uk/bills/carersidentificationsupport.html","Carers (Identification Support)","2006-2007","Babara Keeley","Carers (Identification Support)"
"http://data.parliament.uk/resources/392261","Government","2007-10-27","parliamentjointdepartmentshl.html","http://services.parliament.uk/bills/parliamentjointdepartmentshl.html","Parliament (Joint Departments) [HL]","2006-2007","Baroness Amos","Parliament (Joint Departments) [HL]"
"http://data.parliament.uk/resources/392271","Government","2007-10-27","fraudtrialswithoutajury.html","http://services.parliament.uk/bills/fraudtrialswithoutajury.html","Fraud (Trials Without a Jury)","2006-2007","John Reid","Fraud (Trials Without a Jury)"
"http://data.parliament.uk/resources/392271","Government","2007-10-27","fraudtrialswithoutajury.html","http://services.parliament.uk/bills/fraudtrialswithoutajury.html","Fraud (Trials Without a Jury)","2006-2007","Lord Goldsmith","Fraud (Trials Without a Jury)"
"http://data.parliament.uk/resources/392273","Presentation","2007-10-27","freedomofinformationamendment.html","http://services.parliament.uk/bills/freedomofinformationamendment.html","Freedom of Information (Amendment)","2006-2007","David Maclean","Freedom of Information (Amendment)"
"http://data.parliament.uk/resources/392281","Government","2007-10-27","greaterlondonauthority.html","http://services.parliament.uk/bills/greaterlondonauthority.html","Greater London Authority","2006-2007","Baroness Andrews","Greater London Authority"
"http://data.parliament.uk/resources/392281","Government","2007-10-27","greaterlondonauthority.html","http://services.parliament.uk/bills/greaterlondonauthority.html","Greater London Authority","2006-2007","Ruth Kelly","Greater London Authority"
"http://data.parliament.uk/resources/392296","Ten Minute Rule","2007-10-27","catholicspreventionofdiscrimination.html","http://services.parliament.uk/bills/catholicspreventionofdiscrimination.html","Catholics (Prevention of Discrimination)","2006-2007","Mr John Gummer","Catholics (Prevention of Discrimination)"
"http://data.parliament.uk/resources/392298","Ten Minute Rule","2007-10-27","childcareprovisionwales.html","http://services.parliament.uk/bills/childcareprovisionwales.html","Childcare Provision (Wales)","2006-2007","Chris Bryant","Childcare Provision (Wales)"
"http://data.parliament.uk/resources/392299","Presentation","2007-10-27","citizensconvention.html","http://services.parliament.uk/bills/citizensconvention.html","Citizens' Convention","2006-2007","Julia Goldsworthy","Citizens' Convention"
"http://data.parliament.uk/resources/392300","Presentation","2007-10-27","clustermunitionsprohibitionofdevelopmentandaquisition.html","http://services.parliament.uk/bills/clustermunitionsprohibitionofdevelopmentandaquisition.html","Cluster Munitions (Prohibition of Development and Aquisition)","2006-2007","Nick Harvey","Cluster Munitions (Prohibition of Development and Aquisition)"
"http://data.parliament.uk/resources/392302","Government","2007-10-27","consolidatedfundappropriation.html","http://services.parliament.uk/bills/consolidatedfundappropriation.html","Consolidated Fund (Appropriation)","2006-2007","John Healey","Consolidated Fund (Appropriation)"
"http://data.parliament.uk/resources/392302","Government","2007-10-27","consolidatedfundappropriation.html","http://services.parliament.uk/bills/consolidatedfundappropriation.html","Consolidated Fund (Appropriation)","2006-2007","Lord Davies of Oldham","Consolidated Fund (Appropriation)"
"http://data.parliament.uk/resources/392323","Government","2007-10-27","planninggainsupplementpreparations.html","http://services.parliament.uk/bills/planninggainsupplementpreparations.html","Planning-Gain Supplement (Preparations)","2006-2007","Gordon Brown","Planning-Gain Supplement (Preparations)"
"http://data.parliament.uk/resources/392323","Government","2007-10-27","planninggainsupplementpreparations.html","http://services.parliament.uk/bills/planninggainsupplementpreparations.html","Planning-Gain Supplement (Preparations)","2006-2007","Lord Davies of Oldham","Planning-Gain Supplement (Preparations)"
"http://data.parliament.uk/resources/392333","Government","2007-10-27","investmentexchangesandclearinghouses.html","http://services.parliament.uk/bills/investmentexchangesandclearinghouses.html","Investment Exchanges and Clearing Houses","2006-2007","Gordon Brown","Investment Exchanges and Clearing Houses"
"http://data.parliament.uk/resources/392333","Government","2007-10-27","investmentexchangesandclearinghouses.html","http://services.parliament.uk/bills/investmentexchangesandclearinghouses.html","Investment Exchanges and Clearing Houses","2006-2007","Lord McKensie","Investment Exchanges and Clearing Houses"
"http://data.parliament.uk/resources/392334","Government","2007-10-27","justiceandsecuritynorthernireland.html","http://services.parliament.uk/bills/justiceandsecuritynorthernireland.html","Justice and Security (Northern Ireland)","2006-2007","Lord Rooker","Justice and Security (Northern Ireland)"
"http://data.parliament.uk/resources/392334","Government","2007-10-27","justiceandsecuritynorthernireland.html","http://services.parliament.uk/bills/justiceandsecuritynorthernireland.html","Justice and Security (Northern Ireland)","2006-2007","Peter Hain","Justice and Security (Northern Ireland)"
"http://data.parliament.uk/resources/392335","Government","2007-10-27","incometax.html","http://services.parliament.uk/bills/incometax.html","Income Tax","2006-2007","Gordon Brown","Income Tax"
